status,upload_date,size_kb,identity_name_guess,live_profiles_with_this_identity_name,live_scenarios_with_this_identity,template_scenarios_with_this_identity,s3_key,url,gsheet_preview
IN USE,2025-11-09 17:52:13,416,magical healer,stg:lalegendsmma@gmail.com | stg:test_user_b344151d@testscenario.com,stg:YC test Leigh Ann,stg:YC test Leigh Ann (la@discovita.com),media/b00edb5a-35ec-4dcf-b527-4dc799828407/magical_healer.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/b00edb5a-35ec-4dcf-b527-4dc799828407/magical_healer.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/b00edb5a-35ec-4dcf-b527-4dc799828407/magical_healer.jpg"")"
IN USE,2025-11-09 17:55:52,437,successful entrepenuer,,,,media/dd33a82b-2dc2-458d-9368-9844bc76d462/successful_entrepenuer.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/dd33a82b-2dc2-458d-9368-9844bc76d462/successful_entrepenuer.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/dd33a82b-2dc2-458d-9368-9844bc76d462/successful_entrepenuer.jpg"")"
IN USE,2025-11-09 17:55:53,585,adventurer,stg:lalegendsmma@gmail.com | stg:test_user_3e3bc511@testscenario.com | stg:test_user_8c3ce78d@testscenario.com | stg:test_user_b344151d@testscenario.com,stg:YC test Leigh Ann | stg:leigh ann no identity compnents,stg:YC test Leigh Ann (la@discovita.com) | stg:leigh ann no identity compnents (la@discovita.com),media/b9cdb35d-0f6e-4031-bd42-60a6fd91b87c/adventurer.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/b9cdb35d-0f6e-4031-bd42-60a6fd91b87c/adventurer.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/b9cdb35d-0f6e-4031-bd42-60a6fd91b87c/adventurer.jpg"")"
IN USE,2025-11-09 17:55:53,658,creator,prd:la@discovita.com | prd:test_user_e349cbf6@testscenario.com | stg:lalegendsmma@gmail.com | stg:test_user_04c10b4f@testscenario.com | stg:test_user_3e3bc511@testscenario.com | stg:test_user_3ff6c483@testscenario.com | stg:test_user_44c25234@testscenario.com | stg:test_user_6701f39c@testscenario.com | stg:test_user_8c3ce78d@testscenario.com | stg:test_user_b344151d@testscenario.com | stg:test_user_e349cbf6@testscenario.com | stg:test_user_f85c91d1@testscenario.com | stg:test_user_fbd2531c@testscenario.com,prd:full test sept 10 2025 | stg:Casey - BR Testing | stg:Casey - IR Testing | stg:LA dec 20 2025 | stg:LA test oct 27 | stg:YC test Leigh Ann | stg:full test sept 10 2025 | stg:leigh ann IC test | stg:leigh ann no identity compnents | stg:leigh ann test oct 23,prd:full test sept 10 2025 (la@discovita.com) | stg:Casey - BR Testing (superadmin@admin.com) | stg:Casey - IR Testing (superadmin@admin.com) | stg:LA dec 20 2025 (la@discovita.com) | stg:LA test oct 27 (la@discovita.com) | stg:YC test Leigh Ann (la@discovita.com) | stg:full test sept 10 2025 (la@discovita.com) | stg:leigh ann IC test (la@discovita.com) | stg:leigh ann no identity compnents (la@discovita.com) | stg:leigh ann test oct 23 (la@discovita.com),media/0c20ddd7-2cad-4255-81bc-158fa6c1c6cf/creator.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/0c20ddd7-2cad-4255-81bc-158fa6c1c6cf/creator.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/0c20ddd7-2cad-4255-81bc-158fa6c1c6cf/creator.jpg"")"
IN USE,2025-11-09 17:55:53,518,elegant icon,prd:test_user_e349cbf6@testscenario.com | stg:lalegendsmma@gmail.com | stg:test_user_3ff6c483@testscenario.com | stg:test_user_b344151d@testscenario.com | stg:test_user_e349cbf6@testscenario.com,prd:full test sept 10 2025 | stg:LA dec 20 2025 | stg:YC test Leigh Ann | stg:full test sept 10 2025,prd:full test sept 10 2025 (la@discovita.com) | stg:LA dec 20 2025 (la@discovita.com) | stg:YC test Leigh Ann (la@discovita.com) | stg:full test sept 10 2025 (la@discovita.com),media/8cc7178a-9cd5-4d9f-8c4e-46cca29f6c1a/elegant_icon.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/8cc7178a-9cd5-4d9f-8c4e-46cca29f6c1a/elegant_icon.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/8cc7178a-9cd5-4d9f-8c4e-46cca29f6c1a/elegant_icon.jpg"")"
IN USE,2025-11-09 17:55:53,450,power banker,prd:la@discovita.com | prd:test_user_e349cbf6@testscenario.com | stg:lalegendsmma@gmail.com | stg:test_user_3e3bc511@testscenario.com | stg:test_user_3ff6c483@testscenario.com | stg:test_user_6701f39c@testscenario.com | stg:test_user_8c3ce78d@testscenario.com | stg:test_user_b344151d@testscenario.com | stg:test_user_e349cbf6@testscenario.com,prd:full test sept 10 2025 | stg:LA dec 20 2025 | stg:YC test Leigh Ann | stg:full test sept 10 2025 | stg:leigh ann IC test | stg:leigh ann no identity compnents,prd:full test sept 10 2025 (la@discovita.com) | stg:LA dec 20 2025 (la@discovita.com) | stg:YC test Leigh Ann (la@discovita.com) | stg:full test sept 10 2025 (la@discovita.com) | stg:leigh ann IC test (la@discovita.com) | stg:leigh ann no identity compnents (la@discovita.com),media/ff98bc43-cb77-4903-93e3-9686e798bd33/power_banker.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/ff98bc43-cb77-4903-93e3-9686e798bd33/power_banker.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/ff98bc43-cb77-4903-93e3-9686e798bd33/power_banker.jpg"")"
IN USE,2025-11-09 17:55:54,531,acrobat,prd:test_user_e349cbf6@testscenario.com | stg:lalegendsmma@gmail.com | stg:test_user_b344151d@testscenario.com | stg:test_user_e349cbf6@testscenario.com,prd:full test sept 10 2025 | stg:YC test Leigh Ann | stg:full test sept 10 2025,prd:full test sept 10 2025 (la@discovita.com) | stg:YC test Leigh Ann (la@discovita.com) | stg:full test sept 10 2025 (la@discovita.com),media/1dc0198e-51b1-4410-a233-cbce6e173601/acrobat.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/1dc0198e-51b1-4410-a233-cbce6e173601/acrobat.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/1dc0198e-51b1-4410-a233-cbce6e173601/acrobat.jpg"")"
IN USE,2025-11-09 17:55:54,444,captain of my life,prd:la@discovita.com | prd:test_user_e349cbf6@testscenario.com | stg:lalegendsmma@gmail.com | stg:test_user_05c07943@testscenario.com | stg:test_user_3ff6c483@testscenario.com | stg:test_user_8c3ce78d@testscenario.com | stg:test_user_b344151d@testscenario.com | stg:test_user_e349cbf6@testscenario.com,prd:full test sept 10 2025 | stg:LA dec 20 2025 | stg:YC test Latriza | stg:YC test Leigh Ann | stg:full test sept 10 2025,prd:full test sept 10 2025 (la@discovita.com) | stg:LA dec 20 2025 (la@discovita.com) | stg:YC test Latriza (la@discovita.com) | stg:YC test Leigh Ann (la@discovita.com) | stg:full test sept 10 2025 (la@discovita.com),media/191e9cce-64e1-4cab-a050-818aee1fc677/captain_of_my_life.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/191e9cce-64e1-4cab-a050-818aee1fc677/captain_of_my_life.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/191e9cce-64e1-4cab-a050-818aee1fc677/captain_of_my_life.jpg"")"
IN USE,2025-11-09 17:55:54,423,empowered mother,prd:la@discovita.com | stg:test_user_b344151d@testscenario.com,stg:YC test Leigh Ann,stg:YC test Leigh Ann (la@discovita.com),media/9d1cdca7-63da-4a7e-b97b-9de052e71646/empowered_mother.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/9d1cdca7-63da-4a7e-b97b-9de052e71646/empowered_mother.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/9d1cdca7-63da-4a7e-b97b-9de052e71646/empowered_mother.jpg"")"
IN USE,2025-11-09 17:55:54,543,princess wife,stg:test_user_b344151d@testscenario.com,stg:YC test Leigh Ann,stg:YC test Leigh Ann (la@discovita.com),media/3aa08341-ac18-4235-8a01-663190af76b9/princess_wife.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/3aa08341-ac18-4235-8a01-663190af76b9/princess_wife.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/3aa08341-ac18-4235-8a01-663190af76b9/princess_wife.jpg"")"
IN USE,2025-11-09 17:58:48,374,joy seeker,stg:test_user_05c07943@testscenario.com,stg:YC test Latriza,stg:YC test Latriza (la@discovita.com),media/ac3614f7-5af5-4e8f-b11c-3ad50646ec9a/joy_seeker.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/ac3614f7-5af5-4e8f-b11c-3ad50646ec9a/joy_seeker.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/ac3614f7-5af5-4e8f-b11c-3ad50646ec9a/joy_seeker.jpg"")"
IN USE,2025-11-09 17:58:49,488,agile lioness,stg:test_user_05c07943@testscenario.com,stg:YC test Latriza,stg:YC test Latriza (la@discovita.com),media/de920a3a-3a81-4954-82da-082ab8e86192/agile_lioness.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/de920a3a-3a81-4954-82da-082ab8e86192/agile_lioness.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/de920a3a-3a81-4954-82da-082ab8e86192/agile_lioness.jpg"")"
IN USE,2025-11-09 17:58:49,536,beautiful goddess,stg:test_user_05c07943@testscenario.com,stg:YC test Latriza,stg:YC test Latriza (la@discovita.com),media/fca49440-752e-4193-80da-d84ad0bfb64a/beautiful_goddess.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/fca49440-752e-4193-80da-d84ad0bfb64a/beautiful_goddess.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/fca49440-752e-4193-80da-d84ad0bfb64a/beautiful_goddess.jpg"")"
IN USE,2025-11-09 17:58:49,452,captain of my life,prd:la@discovita.com | prd:test_user_e349cbf6@testscenario.com | stg:lalegendsmma@gmail.com | stg:test_user_05c07943@testscenario.com | stg:test_user_3ff6c483@testscenario.com | stg:test_user_8c3ce78d@testscenario.com | stg:test_user_b344151d@testscenario.com | stg:test_user_e349cbf6@testscenario.com,prd:full test sept 10 2025 | stg:LA dec 20 2025 | stg:YC test Latriza | stg:YC test Leigh Ann | stg:full test sept 10 2025,prd:full test sept 10 2025 (la@discovita.com) | stg:LA dec 20 2025 (la@discovita.com) | stg:YC test Latriza (la@discovita.com) | stg:YC test Leigh Ann (la@discovita.com) | stg:full test sept 10 2025 (la@discovita.com),media/3af57a5a-2ca8-4850-8049-3925fa7fd2a5/captain_of_my_life.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/3af57a5a-2ca8-4850-8049-3925fa7fd2a5/captain_of_my_life.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/3af57a5a-2ca8-4850-8049-3925fa7fd2a5/captain_of_my_life.jpg"")"
IN USE,2025-11-09 17:58:49,457,grounded mother,,,,media/2c328722-89a7-4df6-8582-3641a8b3448a/grounded_mother.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/2c328722-89a7-4df6-8582-3641a8b3448a/grounded_mother.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/2c328722-89a7-4df6-8582-3641a8b3448a/grounded_mother.jpg"")"
IN USE,2025-11-09 17:58:50,529,alchemist,stg:test_user_05c07943@testscenario.com,stg:YC test Latriza,stg:YC test Latriza (la@discovita.com),media/b4cbad35-6571-4e6f-b349-a94a9d147eaf/alchemist.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/b4cbad35-6571-4e6f-b349-a94a9d147eaf/alchemist.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/b4cbad35-6571-4e6f-b349-a94a9d147eaf/alchemist.jpg"")"
IN USE,2025-11-09 17:58:50,362,open hearted lover,stg:test_user_05c07943@testscenario.com,stg:YC test Latriza,stg:YC test Latriza (la@discovita.com),media/d47690a2-8504-4136-81fc-b8ff306bf70b/open_hearted_lover.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/d47690a2-8504-4136-81fc-b8ff306bf70b/open_hearted_lover.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/d47690a2-8504-4136-81fc-b8ff306bf70b/open_hearted_lover.jpg"")"
IN USE,2025-11-09 17:58:50,537,talented innovator,stg:test_user_05c07943@testscenario.com,stg:YC test Latriza,stg:YC test Latriza (la@discovita.com),media/aed884b4-f63f-46dc-a527-982216459270/talented_innovator.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/aed884b4-f63f-46dc-a527-982216459270/talented_innovator.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/aed884b4-f63f-46dc-a527-982216459270/talented_innovator.jpg"")"
